Evaluations;BestFitness;SolutionArray
50;0.0;[4, 4, 4, 2, 4, 0, 0, 2]
100;2077.6666666666665;[1, 1, 1, 1, 0, 2, 1, 4]
150;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
250;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
350;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
400;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
450;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
550;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
600;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
650;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
700;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
750;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
850;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
950;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1050;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1100;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1150;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1250;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1350;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1400;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1450;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1550;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1600;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1650;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1700;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1750;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1850;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1950;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2050;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2150;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2250;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2350;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2400;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2450;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2550;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2600;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2650;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2700;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2750;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2850;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2950;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3050;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3100;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3150;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3250;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3350;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3400;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3450;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3550;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3600;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3650;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3700;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3750;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3850;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3950;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4050;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4100;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4150;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4250;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4350;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4400;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4450;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4550;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4600;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4650;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4700;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4750;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4850;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4950;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
5000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
